,Lemma,definition
25,вы,"<i>Pronoun</i><br>1. you<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)<br>7. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>8. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>9. The prepositional case is never used without a preposition<br>10. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
26,человек,"<i>Noun</i><br>1. person, human being, man<br>2. mankind, man, the human race<br>3. also plural when used with cardinal words:"
27,такой,<i>Noun</i><br>1. taka (currency of Bangladesh)
28,его,"<i>Pronoun</i><br>1. third-person masculine singular pronoun: he, it.<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)"
29,сказать,"<i>Verb</i><br>1. to say, to tell"
30,или,<i>Conjunction</i><br>1. or<br>2. or else<br>3. either
31,еще,"<i>Adverb</i><br>1. yet, more<br>2. else<br>3. still<br>4. even (used with comparatives or to express frustration)"
32,бы,<i>Particle</i><br>1. A verbal particle used to render conditional and subjunctive patterns
33,себя,"<i>Pronoun</i><br>1. (reflexive pronoun) myself, yourself, himself, herself, itself, ourselves, yourselves, themselves (no nominative case)<br>2. (reflexive pronoun) oneself<br>3. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>4. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>5. The prepositional case is never used without a preposition<br>6. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>7. Archaic feminine form: оне́ (oné)"
34,как,"<i>Noun</i><br>1. poo, poop, crap<br>2. something bad<br><i>Noun</i><br>1. poo, poop, crap<br>2. something bad"
35,уже,"<i>Adjective</i><br>1. narrow<br>2. tight<br>3. too narrow, too tight"
36,до,"<i>Preposition</i><br>1. before<br>2. up to, till, until<br>3. with respect to, concerning, regarding<br><i>Noun</i><br>1. before<br>2. up to, till, until<br>3. with respect to, concerning, regarding"
37,время,<i>Noun</i><br>1. time<br>2. weather<br>3. tense
38,если,"<i>Conjunction</i><br>1. if, in case<br>2. ↑  Trubachev's comment in Vasmer's Etymological Dictionary"
39,сам,"<i>Pronoun</i><br>1. self, -self"
40,другой,"<i>Determiner</i><br>1. other, another, different<br>2. else, next, second"
41,вот,"<i>Particle</i><br>1. here (is), this (is), there (is), that (is)<br>2. describing a scene unfolding before one's eyes<br>3. well, so<br>4. there (is), that (is), so<br>5. what a, such a<br><i>Interjection</i><br>1. here (is), this (is), there (is), that (is)<br>2. describing a scene unfolding before one's eyes<br>3. well, so<br>4. there (is), that (is), so<br>5. what a, such a"
42,говорить,"<i>Verb</i><br>1. to speak, to talk<br>2. to say, to tell"
43,наш,"<i>Pronoun</i><br>1. our, ours<br>2. Russian (made in Russia or of Russian origin)<br><i>Noun</i><br>1. our, ours<br>2. Russian (made in Russia or of Russian origin)"
44,мой,<i>Verb</i><br>1. to wash
45,при,"<i>Verb</i><br>1. to move, to trudge, to drag the feet<br>2. to travel (on a burdensome journey)<br>3. to carry (a burden)<br>4. to steal, to pinch<br>5. to give off an unpleasant odour, to stink<br>6. to enjoy, to revel<br>7. to ball out, to floss"
46,чтобы,"<i>Conjunction</i><br>1. that...should (indicates the subjunctive)<br>2. so that, in order that; in order to<br>3. lest"
47,дело,"<i>Verb</i><br>1. to put, to place<br>2. to do with<br>3. to leave, to mislay"
48,жизнь,<i>Noun</i><br>1. life<br>2. practice
49,кто,<i>Conjunction</i><br>1. who<br><i>Pronoun</i><br>1. who
50,первый,"<i>Adjective</i><br>1. first<br>2. chief, main"
51,очень,"<i>Adverb</i><br>1. very, much, very much"
52,два,<i>Numeral</i><br>1. two (2)
53,день,"<i>Verb</i><br>1. to put, to place<br>2. to do with<br>3. to leave, to mislay"
54,ее,"<i>Pronoun</i><br>1. her, its<br><i>Pronoun</i><br>1. her, its"
55,новый,<i>Adjective</i><br>1. new<br>2. novel<br>3. recent<br>4. modern
56,рука,<i>Noun</i><br>1. hand<br>2. arm
57,со,"<i>Preposition</i><br>1. with (+ instrumental case)<br>2. off, from (+ genitive case)"
58,где,<i>Adverb</i><br>1. where<br><i>Conjunction</i><br>1. where
59,там,<i>Adverb</i><br>1. there
60,под,"<i>Preposition</i><br>1. with accusative case
under (movement to beneath)
towards, to
about, on the eve of (time)
in imitation of, à la
for, suitable as<br>2. under (movement to beneath)<br>3. towards, to<br>4. about, on the eve of (time)<br>5. in imitation of, à la<br>6. for, suitable as<br>7. with instrumental case
under, below, beneath (location)
near, by
used for<br>8. under, below, beneath (location)<br>9. near, by<br>10. used for<br><i>Noun</i><br>1. with accusative case
under (movement to beneath)
towards, to
about, on the eve of (time)
in imitation of, à la
for, suitable as<br>2. under (movement to beneath)<br>3. towards, to<br>4. about, on the eve of (time)<br>5. in imitation of, à la<br>6. for, suitable as<br>7. with instrumental case
under, below, beneath (location)
near, by
used for<br>8. under, below, beneath (location)<br>9. near, by<br>10. used for"
61,можно,
62,ну,<i>Interjection</i><br>1. well<br><i>Adverb</i><br>1. well
63,какой,"<i>Noun</i><br>1. poo, poop, crap<br>2. something bad<br><i>Noun</i><br>1. poo, poop, crap<br>2. something bad"
64,их,"<i>Pronoun</i><br>1. they<br>2. they<br>3. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>4. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>5. The prepositional case is never used without a preposition<br>6. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>7. Archaic feminine form: оне́ (oné)<br>8. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>9. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>10. The prepositional case is never used without a preposition<br>11. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
65,работа,"<i>Noun</i><br>1. work<br>2. labor, toil<br>3. assignment, task<br>4. job, occupation"
66,без,<i>Preposition</i><br>1. without<br>2. minus
67,самый,"<i>Pronoun</i><br>1. the very, the selfsame, the very same<br>2. the most (superlative degree)"
68,потом,"<i>Noun</i><br>1. sweat, perspiration"
69,надо,"<i>Preposition</i><br>1. above, over"
70,хотеть,"<i>Verb</i><br>1. to want, to desire"
71,слово,"<i>Noun</i><br>1. word, term<br>2. speech, address<br>3. promise"
72,идти,"<i>Verb</i><br>1. to go<br>2. to walk<br>3. to fall<br>4. to function, to work<br>5. to suit, to become (of wearing clothes)<br>6. "
73,Россия,<i>Proper noun</i><br>1. Russia (a country in Eastern Europe and Asia)
74,большой,"<i>Adjective</i><br>1. big, large, great<br>2. important<br>3. grown-up<br>4. big, outstanding"
75,должен,
76,место,"<i>Noun</i><br>1. place<br>2. (pl) region, area<br>3. site, scene<br>4. job, position<br>5. piece (of luggage)<br>6. room, space"
77,иметь,"<i>Verb</i><br>1. to have, to possess"
78,ничто,<i>Pronoun</i><br>1. (indefinite pronoun) nothing
79,то,"<i>Determiner</i><br>1. that, those<br>2. the one<br>3. the other"
80,сейчас,"<i>Adverb</i><br>1. now, at present<br>2. presently, immediately, at once<br>3. just now"
81,тут,"<i>Noun</i><br>1. Alternative form of тут (tut, “mulberry”)<br><i>Adverb</i><br>1. Alternative form of тут (tut, “mulberry”)<br><i>Noun</i><br>1. Alternative form of тут (tut, “mulberry”)"
82,лицо,"<i>Noun</i><br>1. face<br>2. countenance<br>3. front<br>4. person, individual, individuality<br>5. person"
83,каждый,"<i>Adjective</i><br>1. every, each<br>2. either (of two)<br>3. everybody, everyone"
84,друг,<i>Noun</i><br>1. close friend<br><i>Noun</i><br>1. close friend
85,нет,<i>Adverb</i><br>1. not<br><i>Verb</i><br>1. not
86,теперь,"<i>Adverb</i><br>1. now, at present"
87,глаз,"<i>Noun</i><br>1. eye<br>2. eyesight<br>3. view, opinion"
88,тоже,"<i>Adverb</i><br>1. also, too, as well, likewise<br>2. either, neither, nor<br><i>Particle</i><br>1. also, too, as well, likewise<br>2. either, neither, nor"
89,тогда,"<i>Adverb</i><br>1. then, at that time<br>2. then, in that case"
90,видеть,<i>Verb</i><br>1. to see
91,вопрос,"<i>Noun</i><br>1. question<br>2. matter, issue<br>3. problem"
92,через,"<i>Preposition</i><br>1. through<br>2. across, over<br>3. (time) in, after<br>4. via<br>5. with, with the help of<br>6. because of<br><i>Noun</i><br>1. through<br>2. across, over<br>3. (time) in, after<br>4. via<br>5. with, with the help of<br>6. because of"
93,да,<i>Adverb</i><br>1. yes<br><i>Conjunction</i><br>1. yes<br><i>Interjection</i><br>1. yes<br><i>Particle</i><br>1. yes<br><i>Prefix</i><br>1. yes
94,здесь,<i>Adverb</i><br>1. here
95,дом,"<i>Noun</i><br>1. house, building (a residential building)<br>2. house, home<br>3. plot (in some street addresses: a group of buildings sharing the same street number)<br>4. home<br>5. dynasty, noble house"
96,потому,"<i>Adverb</i><br>1. therefore, because of that, consequently"
97,сторона,"<i>Noun</i><br>1. side, hand, party<br>2. direction, quarter<br>3. place, region, country<br>4. distance"
98,какой-то,"<i>Pronoun</i><br>1. some, a/an (certain, unspecified or unknown)<br>2. a kind of, a sort of; something like"
99,думать,"<i>Verb</i><br>1. to think<br>2. to believe, to suppose"
100,сделать,"<i>Verb</i><br>1. to make, to do"
101,страна,<i>Noun</i><br>1. country<br>2. region
102,жить,<i>Verb</i><br>1. to live<br>2. to reside
103,чем,<i>Conjunction</i><br>1. that<br><i>Pronoun</i><br>1. that
104,мир,<i>Noun</i><br>1. peace<br>2. universe; world; planet
105,об,"<i>Preposition</i><br>1. about, of, on<br>2. against, upon"
106,последний,"<i>Adjective</i><br>1. last, latest, recent<br>2. final, ultimate, definitive<br>3. latter<br>4. worst"
107,случай,"<i>Noun</i><br>1. case<br>2. occurrence, event<br>3. occasion<br>4. opportunity, chance"
108,голова,<i>Noun</i><br>1. head<br>2. mind; brains<br><i>Noun</i><br>1. head<br>2. mind; brains
109,более,<i>Adverb</i><br>1. more<br>2. more than (+ genitive case)
110,делать,"<i>Verb</i><br>1. to make, to do"
111,смотреть,"<i>Verb</i><br>1. to look, to gaze<br>2. to see, to watch<br>3. to view, to review<br>4. to examine, to inspect<br>5. to mind"
112,ребенок,"<i>Noun</i><br>1. child, kid, baby: children, kids, babies<br>2. guys, fellows, friends, comrades"
113,конечно,"<i>Adjective</i><br>1. final, eventual, ultimate<br>2. finite"
114,сила,<i>Noun</i><br>1. alternative form of сило́к (silók)
115,российский,"<i>Adjective</i><br>1. Russian (concerning the country, nationality)"
116,конец,"<i>Noun</i><br>1. end<br>2. ending, close, termination<br>3. death<br>4. distance, way<br>5. male sex organ<br>6. rope<br>7. borough"
117,Москва,"<i>Proper noun</i><br>1. Moscow (a federal city, the capital of Russia)<br>2. Moskva (a river in Russia)<br>3. the government of the Russian Federation"
118,перед,"<i>Preposition</i><br>1. in front of, before<br>2. right/immediately before<br><i>Noun</i><br>1. in front of, before<br>2. right/immediately before"
119,вид,"<i>Noun</i><br>1. look, looks, appearance, air<br>2. sight, view<br>3. kind, sort, species<br>4. form<br>5. aspect"
120,система,<i>Noun</i><br>1. system
121,всегда,<i>Adverb</i><br>1. always
122,работать,"<i>Verb</i><br>1. to work<br>2. to function<br>3. to labor, to toil<br>4. to be open (for business)"
123,между,"<i>Preposition</i><br>1. between, among"
124,три,"<i>Verb</i><br>1. to rub<br>2. to polish<br>3. to rub sore, to chafe, to abrade<br>4. to grate, to grind"
125,понять,"<i>Verb</i><br>1. to understand, to comprehend, to see<br>2. to realize, to appreciate"
126,пойти,"<i>Verb</i><br>1. to go<br>2. to walk<br>3. to rain<br>4. to function, to work"
127,часть,"<i>Noun</i><br>1. part<br>2. share<br>3. piece<br>4. department, section<br>5. unit (regimental or smaller sized and administratively self-contained)<br>6. line, branch<br>7. police station"
128,спросить,"<i>Verb</i><br>1. to ask, to inquire<br>2. to demand"
129,город,"<i>Noun</i><br>1. city, town<br>2. downtown"
130,дать,"<i>Verb</i><br>1. to give<br>2. to let, to allow<br>3. to organize, to create<br>4. to hit, to strike, to clip, to give it to someone<br>5. to estimate someone's age from their appearance<br>6. to consent to sex"
131,также,"<i>Adverb</i><br>1. also, too, as well, likewise<br>2. either, neither, nor"
132,никто,"<i>Pronoun</i><br>1. (indefinite pronoun) nobody, no one; (with negative) anybody, anyone"
133,понимать,"<i>Verb</i><br>1. to understand, to comprehend, to see<br>2. to realize, to appreciate"
134,получить,<i>Verb</i><br>1. to receive
135,отношение,"<i>Noun</i><br>1. attitude<br>2. treatment<br>3. relation, regard, consideration<br>4. ratio<br>5. official letter"
136,второй,<i>Adjective</i><br>1. second<br>2. upper
137,ваш,"<i>Pronoun</i><br>1. your, yours"
138,хотя,"<i>Verb</i><br>1. to want, to desire"
139,ни,"<i>Conjunction</i><br>1. neither, nor<br><i>Particle</i><br>1. neither, nor<br><i>Noun</i><br>1. neither, nor"
140,сидеть,"<i>Verb</i><br>1. to sit<br>2. to be imprisoned, to do time<br>3. to stay at home with somebody, to look after somebody"
141,над,"<i>Preposition</i><br>1. above, over"
142,женщина,<i>Noun</i><br>1. woman
143,оказаться,"<i>Verb</i><br>1. to turn out, to be found, to prove (to be)<br>2. to find oneself<br>3. to be found<br>4. in expressions"
144,русский,"<i>Adjective</i><br>1. Russian, related to Russian ethnicity, language, or culture<br>2. Russian, related to the Russian state<br><i>Noun</i><br>1. Russian, related to Russian ethnicity, language, or culture<br>2. Russian, related to the Russian state"
145,один,"<i>Numeral</i><br>1. one (1)<br>2. alone<br>3. only (especially with negative connotation)<br>4. a, a certain, some<br>5. some (do something or have some quality), while others (do not do it; do something else; do not have this quality; or have another or the opposite quality)"
146,взять,<i>Verb</i><br>1. to take
147,прийти,"<i>Verb</i><br>1. to come (to), to arrive (at)"
148,являться,"<i>Verb</i><br>1. to report (in person), to appear<br>2. to turn up<br>3. to be (+ instrumental case, only imperfective)"
149,деньги,<i>Noun</i><br>1.  denga (an old Russian coin)<br><i>Noun</i><br>1.  denga (an old Russian coin)
150,почему,<i>Adverb</i><br>1. why? (on what ground; according to what)
151,вдруг,"<i>Adverb</i><br>1. suddenly, all of a sudden<br>2. what if"
152,любить,"<i>Verb</i><br>1. to love, to like, to be fond of, to grow fond of (more intensely than нравиться)"
153,стоить,"<i>Verb</i><br>1. to cost<br>2. to be worth<br>3. to be worthy of, to deserve<br>4. сто́ит то́лько (stóit tólʹko)
it is sufficient (for some purpose), all you have to do is, one need only

once (one thing happens another thing certainly happens)
<br>5. it is sufficient (for some purpose), all you have to do is, one need only<br>6. once (one thing happens another thing certainly happens)"
154,почти,"<i>Noun</i><br>1. (often in plural) honour, laurels<br><i>Verb</i><br>1. (often in plural) honour, laurels"
155,земля,"<i>Noun</i><br>1. earth<br>2. land<br>3. ground, soil<br>4. country<br>5. state, Land (first-level administrative division of Germany)"
156,общий,"<i>Adjective</i><br>1. common<br>2. public<br>3. total, whole<br>4. general<br>5. common"
157,машина,"<i>Noun</i><br>1. car, motor vehicle<br>2. machine<br>3. computer<br>4. accelerator"
158,сразу,"<i>Adverb</i><br>1. at once, simultaneously<br>2. at one stroke<br>3. at once, right away, straight away<br>4. straight off, out of hand"
159,хорошо,"<i>Adjective</i><br>1. good<br>2. fine, nice<br>3. pretty, good-looking, handsome"
160,вода,"<i>Noun</i><br>1. water<br>2. soft drink, soda<br>3. tide<br>4. watery prose, fluff"
161,отец,"<i>Noun</i><br>1. father<br>2. ancestor<br>3. senior, superior, first of, chief, sensei<br>4. familiar term of address for an elderly man<br>5. referring to a man who cares about sоmеbody or something like a father<br>6. founder, initiator of something<br>7. root, basis, source"
162,высокий,"<i>Adjective</i><br>1. tall<br>2. high-altitude<br>3. high, great, intense<br>4. lofty, elevated<br>5. unselfish, noble<br>6. high-ranking<br>7. approving, favorable, good<br>8. high-pitched"
163,остаться,"<i>Verb</i><br>1. to remain, to stay<br>2. to be left"
164,выйти,"<i>Verb</i><br>1. to exit, to go out<br>2. to appear, to be published<br>3. to spend, to be used up<br>4. to come off, to come out<br>5. to come, to originate<br>6. to leave, to drop out<br>7. to look, to face, to front"
165,проблема,<i>Noun</i><br>1. problem (difficulty)
166,начать,"<i>Verb</i><br>1. to begin, to start, to commence"
167,хороший,"<i>Adjective</i><br>1. good<br>2. fine, nice<br>3. pretty, good-looking, handsome"
168,час,"<i>Noun</i><br>1. hour, o'clock, time, time of day<br>2. hours, o'clock<br>3. clock, watch<br>4. time, day"
169,это,"<i>Determiner</i><br>1. proximal demonstrative adjective and pronoun, this"
170,сегодня,<i>Adverb</i><br>1. today<br><i>Noun</i><br>1. today
171,совсем,"<i>Adverb</i><br>1. quite, entirely, totally<br>2. at all"
172,нога,<i>Noun</i><br>1. leg<br>2. foot
173,считать,"<i>Verb</i><br>1. to calculate<br>2. to count<br>3. to think, to opine, to consider<br><i>Verb</i><br>1. to calculate<br>2. to count<br>3. to think, to opine, to consider"
174,главный,"<i>Adjective</i><br>1. chief, leading, main<br>2. principal<br>3. central, head, senior<br>4. core"
175,решение,"<i>Noun</i><br>1. decision, solution, answer<br>2. solving, deciding, determining<br>3. resolution, judgment, decree, verdict"
176,увидеть,"<i>Verb</i><br>1. to see, to catch sight of, to notice"
177,дверь,<i>Noun</i><br>1. door
178,казаться,"<i>Verb</i><br>1. to seem, to appear, to look"
179,образ,"<i>Noun</i><br>1. shape, form<br>2. appearance, look, style, image<br>3. type<br>4. figure<br>5. mode, manner, way<br>6. icon<br><i>Noun</i><br>1. shape, form<br>2. appearance, look, style, image<br>3. type<br>4. figure<br>5. mode, manner, way<br>6. icon"
180,писать,<i>Verb</i><br>1. to write<br>2. to paint (a painting)<br><i>Verb</i><br>1. to write<br>2. to paint (a painting)
181,история,"<i>Noun</i><br>1. history, story<br>2. affair, thing"
182,лучший,"<i>Adjective</i><br>1. good<br>2. fine, nice<br>3. pretty, good-looking, handsome"
183,власть,"<i>Noun</i><br>1. authority, authorities, power<br>2. rule, regime<br>3. control<br>4. force (legal validity)"
184,закон,<i>Noun</i><br>1. law<br>2. rule
185,все,"<i>Pronoun</i><br>1. all, the whole, the whole of<br>2. everything, all<br>3. everybody, everyone<br><i>Noun</i><br>1. all, the whole, the whole of<br>2. everything, all<br>3. everybody, everyone<br><i>Verb</i><br>1. all, the whole, the whole of<br>2. everything, all<br>3. everybody, everyone"
186,война,"<i>Noun</i><br>1. war, warfare"
187,бог,"<i>Noun</i><br>1. God<br>2. god, idol<br>3. ↑  Д. Э. Розенталь; Е. В. Джанджакова (1999),  “III. Употребление прописных букв, §21”, in Справочник по правописанию, произношению, литературному редактированию (in Russian), Moscow: ЧеРо"
188,голос,"<i>Noun</i><br>1. voice<br>2. voice, word, remark, opinion<br>3. vote"
189,найти,"<i>Verb</i><br>1. to find<br>2. to think, to consider<br>3. to come across<br>4. to be located, to be situated<br>5. to happen to have"
190,поэтому,"<i>Adverb</i><br>1. therefore, that is why"
191,стоять,"<i>Verb</i><br>1. to stand, to be situated<br>2. to stop"
192,вообще,"<i>Adverb</i><br>1. generally, in general<br>2. always, usually<br>3. altogether, on the whole<br>4. at all<br>5. anyway"
193,тысяча,<i>Numeral</i><br>1. thousand (1000)<br><i>Noun</i><br>1. thousand (1000)
